AVG Rank	Position	Name	School	Age on  Week 1	Player Notes or     Red Flags	Height	Weight	Hand	Arm	Wing	40 yd Dash	10 yd Split	Vert Jump	Broad Jump	3 Cone	Shuttle	Bench
428	LB	Keenan Pili	Tennessee			6' 3"	240										
429	K	Caden Davis	Mississippi	24.52	Age 24	6' 2"	210										
430	OL	Marques Cox	Kentucky			6' 5"	318										
431	P	Luke Elzinga	Oklahoma			6' 4"	215	8 4/8"	33"	79"							
432	P	Kai Kroeger	South Carolina			6' 3 1/8"	213	9 0/8"	31 1/2"	76 3/8"							
433	OC	Thomas Perry	Middlebury			6' 2 3/8"	311	9 2/8"	31 5/8"	78 1/4"							
434	OL	Aiden Williams	Minnesota-Deluth			6' 5 5/8"	314	9 3/8"	32 1/4"	79 1/2"							
435	QB	Cam Miller	North Dakota State			6' 0 7/8"	210	9 2/8"	29 7/8"	72 3/4"							
436	QB	Payton Thorne	Auburn			6' 1 1/2"	210	9 3/8"	31 1/8"	76 1/8"							
437	S	Mike Smith	Eastern Kentucky			6' 0 7/8"	213	9 2/8"	32 3/8"	77 1/8"							
438	RB	Lawrence Toafili	Florida State			6' 0"	196										
439	LS	Brent Matiscik	TCU			6' 0 1/4"	232	8 3/8"	30 1/4"	72 5/8"							
440	DB	Johnathan Edwards	Tulane			6' 1"	200										
441	OL	JC Davis	Illinois			6' 5"	320										
442	DE	Davin Vann	North Carolina State			6' 2"	276										
443	S	Melvin Smith Jr.	Southern Arkansas			6' 1"	185										
444	RB	Kobe Pace	Virginia			5' 10"	215										
445	QB	Ethan Garbers	UCLA			6' 2"	205	9 1/8"	31 7/8"	76 1/2"							
446	DB	Garnett Hollis	West Virginia			6' 0 1/4"	203	8 0/8"	32"	76"							
447	DE	Garmon Randolph	Baylor			6' 6 5/8"	266	9 3/8"	34 1/4"	83 7/8"							
448	TE	Carter Runyan	Towson			6' 4 1/4"	235	9 3/8"	33 1/8"	81 3/8"							
449	RB	Tre Stewart	Jacksonville State			5' 8 7/8"	186	9 3/8"	30 3/8"	72"							
